Code, Program Type
1,AGRICULTURE; AGRICULTURE OPERATIONS; RELATED SCIENCES
3,NATURAL RESOURCES CONSERVATION
4,ARCHITECTURE RELATED SERVICES
5,AREA; ETHNIC; CULTURAL; GENDER; GROUP STUDIES
9,COMMUNICATION; JOURNALISM; RELATED PROGRAMS
10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS SUPPORT SERVICES
11,COMPUTER INFORMATION SCIENCES SUPPORT SERVICES
12,PERSONAL CULINARY SERVICES
13,EDUCATION
14,ENGINEERING
15,ENGINEERING TECHNOLOGIES ENGINEERING-RELATED FIELDS
16,FOREIGN LANGUAGES; LITERATURES; LINGUISTICS
19,FAMILY CONSUMER SCIENCES/HUMAN SCIENCES
22,LEGAL PROFESSIONS STUDIES
23,ENGLISH LANGUAGE LITERATURE/LETTERS
24,LIBERAL ARTS SCIENCES; GENERAL STUDIES HUMANITIES
25,LIBRARY SCIENCE
26,BIOLOGICAL BIOMEDICAL SCIENCES
27,MATHEMATICS STATISTICS
28,MILITARY SCIENCE; LEADERSHIP OPERATIONAL ART
29,MILITARY TECHNOLOGIES APPLIED SCIENCES
30,MULTI/INTERDISCIPLINARY STUDIES
31,PARKS; RECREATION; LEISURE; FITNESS STUDIES
32,BASIC SKILLS DEVELOPMENTAL/REMEDIAL EDUCATION
33,CITIZENSHIP ACTIVITIES
34,HEALTH-RELATED KNOWLEDGE SKILLS
35,INTERPERSONAL SOCIAL SKILLS
36,LEISURE RECREATIONAL ACTIVITIES
37,PERSONAL AWARENESS SELF-IMPROVEMENT
38,PHILOSOPHY RELIGIOUS STUDIES
39,THEOLOGY RELIGIOUS VOCATIONS
40,PHYSICAL SCIENCES
41,SCIENCE TECHNOLOGIES/TECHNICIANS
42,PSYCHOLOGY
43,HOMEL SECURITY; LAW ENFORCEMENT; FIREFIGHTING RELATED PROTECTIVE SERVICES
44,PUBLIC ADMINISTRATION SOCIAL SERVICE PROFESSIONS
45,SOCIAL SCIENCES
46,CONSTRUCTION TRADES
47,MECHANIC REPAIR TECHNOLOGIES/TECHNICIANS
48,PRECISION PRODUCTION
49,TRANSPORTATION MATERIALS MOVING
50,VISUAL PERFORMING ARTS
51,HEALTH PROFESSIONS RELATED PROGRAMS
52,BUSINESS; MANAGEMENT; MARKETING; RELATED SUPPORT SERVICES
53,HIGH SCHOOL/SECONDARY DIPLOMAS CERTIFICATES
54,HISTORY
